"","team","Gold","Silver","Bronze","None","Total Athletes","lat","long"
"224","Andorra",0,0,0,135,135,42.546245,1.601554
"56","United Arab Emirates",1,0,1,93,95,23.424076,53.847818
"164","Afghanistan",0,0,2,52,54,33.93911,67.709953
"228","Antigua and Barbuda",0,0,0,115,115,17.060816,-61.796428
"283","Albania",0,0,0,57,57,41.153332,20.168331
"71","Armenia",2,5,8,190,205,40.069099,45.038189
"131","Netherlands Antilles",0,0,0,51,51,12.226079,-69.060087
"95","Angola",0,0,0,245,245,-11.202692,17.873887
"15","Argentina",72,66,78,1958,2174,-38.416097,-63.616672
"133","American Samoa",0,0,0,21,21,-14.270972,-170.132217
"134","Austria",66,85,96,2737,2984,47.516231,14.550072
"36","Australia",313,412,471,5313,6509,-25.274398,133.775136
"321","Aruba",0,0,0,41,41,12.52111,-69.968338
"13","Azerbaijan",7,12,25,219,263,40.143105,47.576927
"190","Bosnia and Herzegovina",0,0,0,112,112,43.915886,17.679076
"195","Barbados",0,0,1,189,190,13.193887,-59.543198
"98","Bangladesh",0,0,0,48,48,23.684994,90.356331
"45","Belgium",15,43,30,1655,1743,50.503887,4.469936
"317","Burkina Faso",0,0,0,37,37,12.238333,-1.561593
"11","Bulgaria",53,140,135,2687,3015,42.733883,25.48583
"27","Bahrain",1,1,1,93,96,25.930414,50.637772
"319","Burundi",1,1,0,36,38,-3.373056,29.918886
"74","Benin",0,0,0,57,57,9.30769,2.315834
"158","Bermuda",0,0,1,121,122,32.321384,-64.75737
"49","Brunei",0,0,0,9,9,4.535277,114.727669
"222","Bolivia",0,0,0,114,114,-16.290154,-63.588653
"62","Brazil",101,155,166,2707,3129,-14.235004,-51.92528
"176","Bahamas",12,11,13,292,328,25.03428,-77.39628
"372","Bhutan",0,0,0,29,29,27.514162,90.433601
"209","Botswana",0,1,0,82,83,-22.328474,24.684866
"17","Belarus",24,41,66,1568,1699,53.709807,27.953389
"148","Belize",0,0,0,73,73,17.189877,-88.49765
"34","Canada",350,336,338,6644,7668,56.130366,-106.346771
"186","Central African Republic",0,0,0,45,45,6.611111,20.939444
"83","Switzerland",62,106,109,3641,3918,46.818188,8.227512
"281","Cook Islands",0,0,0,37,37,-21.236736,-159.777671
"82","Chile",3,4,18,488,513,-35.675147,-71.542969
"19","Cameroon",16,1,1,233,251,7.369722,12.354722
"1","China",308,323,266,3815,4712,35.86166,104.195397
"97","Colombia",5,8,14,918,945,4.570868,-74.297333
"86","Costa Rica",1,1,2,204,208,9.748917,-83.753428
"16","Cuba",155,123,115,1808,2201,21.521757,-77.781167
"217","Cape Verde",0,0,0,17,17,16.002082,-24.013197
"144","Cyprus",0,1,0,190,191,35.126413,33.429859
"115","Czech Republic",42,32,60,1664,1798,49.817492,15.472962
"65","Germany",508,470,540,5479,6997,51.165691,10.451526
"46","Djibouti",0,0,1,28,29,11.825138,42.590275
"139","Denmark",98,59,79,1396,1632,56.26392,9.501785
"137","Dominica",0,0,0,18,18,15.414999,-61.370976
"119","Dominican Republic",3,2,1,203,209,18.735693,-70.162651
"25","Algeria",5,4,6,466,481,28.033886,1.659626
"108","Ecuador",1,1,0,255,257,-1.831239,-78.183406
"7","Estonia",10,9,15,752,786,58.595272,25.013607
"10","Egypt",1,4,7,857,869,26.820553,30.802498
"39","Eritrea",0,0,1,36,37,15.179384,39.782334
"9","Spain",81,211,133,3856,4281,40.463667,-3.74922
"52","Ethiopia",22,9,22,294,347,9.145,40.489673
"4","Finland",178,209,336,3642,4365,61.92411,25.748151
"169","Fiji",13,0,0,194,207,-16.578193,179.414413
"8","France",279,320,366,6842,7807,46.227638,2.213749
"205","Gabon",0,1,0,57,58,-0.803689,11.609444
"236","Grenada",1,1,0,34,36,12.262776,-61.604171
"88","Georgia",8,6,18,253,285,42.315407,43.356892
"77","Ghana",0,1,5,291,297,7.946527,-1.023194
"364","Gambia",0,0,0,38,38,13.443182,-15.310139
"145","Guinea",0,0,0,42,42,9.945587,-9.696645
"267","Equatorial Guinea",0,0,0,23,23,1.650801,10.267895
"18","Greece",24,40,34,1737,1835,39.074208,21.824312
"177","Guatemala",0,1,0,324,325,15.783471,-90.230759
"191","Guam",0,0,0,81,81,13.444304,144.793731
